result_dir,method,hit@5,recall@5,precision@5,mrr,evidence_coverage@5,all_evidence_hit@5,first_two_evidence_hit@5,evidence_hit_count,answer_accuracy
results_hotpotqa_500,BM25,0.954,0.7241333333333333,0.3284,0.8533,0.7241333333333333,0.488,0.546,1.752,0.214
results_hotpotqa_500,BM25-Vector Hybrid,0.97,0.7747666666666666,0.364,0.8939333333333332,0.7747666666666666,0.572,0.636,1.864,0.212
results_hotpotqa_500,Vector-only,0.952,0.7053333333333334,0.34240000000000004,0.8684333333333333,0.7053333333333334,0.454,0.54,1.69,0.202
results_hotpotqa_500,Full ERCS,0.96,0.7154666666666667,0.3472,0.8706,0.7154666666666667,0.468,0.56,1.708,0.212
results_guarded_test_500,BM25-Vector Hybrid,0.7,0.3858333333333333,0.49360000000000004,0.6236,0.3858333333333333,0.12,0.19,1.006,0.194
results_clean_test_500,BM25,0.712,0.41933333333333334,0.49639999999999995,0.6265,0.41933333333333334,0.154,0.212,1.092,0.186
results_clean_test_500,BM25-Vector Hybrid,0.7,0.3858333333333333,0.49360000000000004,0.6236,0.3858333333333333,0.12,0.19,1.006,0.194
results_clean_test_500,Vector-only,0.618,0.2976666666666667,0.4168,0.5064666666666666,0.2976666666666667,0.05,0.092,0.778,0.166
results_clean_test_500,graph_rag,0.586,0.2785,0.38,0.46603333333333335,0.2785,0.046,0.084,0.732,0.156
results_clean_test_500,Full ERCS,0.614,0.3028333333333333,0.386,0.4749333333333333,0.3028333333333333,0.056,0.096,0.792,0.182
results_cross_encoder_hotpotqa_500,BM25-Vector Hybrid,0.97,0.7747666666666666,0.364,0.8939333333333332,0.7747666666666666,0.572,0.636,1.864,0.212
results_cross_encoder_hotpotqa_500,Cross-Encoder Reranker,0.994,0.8502666666666666,0.398,0.9523333333333334,0.8502666666666666,0.698,0.754,2.05,0.246
