seed,method,metric,value
42,bm25_rag,hit@5,0.712
42,bm25_rag,recall@5,0.41933333333333334
42,bm25_rag,precision@5,0.49639999999999995
42,bm25_rag,mrr,0.6265
42,bm25_rag,evidence_coverage@5,0.41933333333333334
42,bm25_rag,all_evidence_hit@5,0.154
42,bm25_rag,first_two_evidence_hit@5,0.212
42,bm25_rag,evidence_hit_count,1.092
42,bm25_rag,evidence_total,2.472
42,bm25_rag,answer_accuracy,0.186
42,bm25_rag,faithfulness,1.0
42,hybrid_rag,hit@5,0.7
42,hybrid_rag,recall@5,0.3858333333333333
42,hybrid_rag,precision@5,0.49360000000000004
42,hybrid_rag,mrr,0.6236
42,hybrid_rag,evidence_coverage@5,0.3858333333333333
42,hybrid_rag,all_evidence_hit@5,0.12
42,hybrid_rag,first_two_evidence_hit@5,0.19
42,hybrid_rag,evidence_hit_count,1.006
42,hybrid_rag,evidence_total,2.472
42,hybrid_rag,answer_accuracy,0.194
42,hybrid_rag,faithfulness,1.0
42,vector_rag,hit@5,0.618
42,vector_rag,recall@5,0.2976666666666667
42,vector_rag,precision@5,0.4168
42,vector_rag,mrr,0.5064666666666666
42,vector_rag,evidence_coverage@5,0.2976666666666667
42,vector_rag,all_evidence_hit@5,0.05
42,vector_rag,first_two_evidence_hit@5,0.092
42,vector_rag,evidence_hit_count,0.778
42,vector_rag,evidence_total,2.472
42,vector_rag,answer_accuracy,0.166
42,vector_rag,faithfulness,1.0
42,graph_rag,hit@5,0.546
42,graph_rag,recall@5,0.2591666666666667
42,graph_rag,precision@5,0.3472
42,graph_rag,mrr,0.4417
42,graph_rag,evidence_coverage@5,0.2591666666666667
42,graph_rag,all_evidence_hit@5,0.05
42,graph_rag,first_two_evidence_hit@5,0.088
42,graph_rag,evidence_hit_count,0.672
42,graph_rag,evidence_total,2.472
42,graph_rag,answer_accuracy,0.148
42,graph_rag,faithfulness,1.0
42,ercs_graphrag,hit@5,0.614
42,ercs_graphrag,recall@5,0.3028333333333333
42,ercs_graphrag,precision@5,0.386
42,ercs_graphrag,mrr,0.4749333333333333
42,ercs_graphrag,evidence_coverage@5,0.3028333333333333
42,ercs_graphrag,all_evidence_hit@5,0.056
42,ercs_graphrag,first_two_evidence_hit@5,0.096
42,ercs_graphrag,evidence_hit_count,0.792
42,ercs_graphrag,evidence_total,2.472
42,ercs_graphrag,answer_accuracy,0.182
42,ercs_graphrag,faithfulness,1.0
42,ucp_ercs_graphrag,hit@5,0.62
42,ucp_ercs_graphrag,recall@5,0.3123333333333333
42,ucp_ercs_graphrag,precision@5,0.36040000000000005
42,ucp_ercs_graphrag,mrr,0.4674333333333333
42,ucp_ercs_graphrag,evidence_coverage@5,0.3123333333333333
42,ucp_ercs_graphrag,all_evidence_hit@5,0.062
42,ucp_ercs_graphrag,first_two_evidence_hit@5,0.108
42,ucp_ercs_graphrag,evidence_hit_count,0.82
42,ucp_ercs_graphrag,evidence_total,2.472
42,ucp_ercs_graphrag,answer_accuracy,0.188
42,ucp_ercs_graphrag,faithfulness,1.0
2024,bm25_rag,hit@5,0.734
2024,bm25_rag,recall@5,0.417
2024,bm25_rag,precision@5,0.5267999999999999
2024,bm25_rag,mrr,0.6533666666666667
2024,bm25_rag,evidence_coverage@5,0.417
2024,bm25_rag,all_evidence_hit@5,0.14
2024,bm25_rag,first_two_evidence_hit@5,0.186
2024,bm25_rag,evidence_hit_count,1.092
2024,bm25_rag,evidence_total,2.498
2024,bm25_rag,answer_accuracy,0.186
2024,bm25_rag,faithfulness,1.0
2024,hybrid_rag,hit@5,0.726
2024,hybrid_rag,recall@5,0.3945
2024,hybrid_rag,precision@5,0.5336000000000001
2024,hybrid_rag,mrr,0.6437
2024,hybrid_rag,evidence_coverage@5,0.3945
2024,hybrid_rag,all_evidence_hit@5,0.122
2024,hybrid_rag,first_two_evidence_hit@5,0.166
2024,hybrid_rag,evidence_hit_count,1.024
2024,hybrid_rag,evidence_total,2.498
2024,hybrid_rag,answer_accuracy,0.2
2024,hybrid_rag,faithfulness,1.0
2024,vector_rag,hit@5,0.63
2024,vector_rag,recall@5,0.3016666666666667
2024,vector_rag,precision@5,0.4408
2024,vector_rag,mrr,0.5257333333333334
2024,vector_rag,evidence_coverage@5,0.3016666666666667
2024,vector_rag,all_evidence_hit@5,0.044
2024,vector_rag,first_two_evidence_hit@5,0.078
2024,vector_rag,evidence_hit_count,0.78
2024,vector_rag,evidence_total,2.498
2024,vector_rag,answer_accuracy,0.204
2024,vector_rag,faithfulness,1.0
2024,graph_rag,hit@5,0.552
2024,graph_rag,recall@5,0.26466666666666666
2024,graph_rag,precision@5,0.3568
2024,graph_rag,mrr,0.4491
2024,graph_rag,evidence_coverage@5,0.26466666666666666
2024,graph_rag,all_evidence_hit@5,0.048
2024,graph_rag,first_two_evidence_hit@5,0.082
2024,graph_rag,evidence_hit_count,0.678
2024,graph_rag,evidence_total,2.498
2024,graph_rag,answer_accuracy,0.168
2024,graph_rag,faithfulness,1.0
2024,ercs_graphrag,hit@5,0.614
2024,ercs_graphrag,recall@5,0.3055
2024,ercs_graphrag,precision@5,0.406
2024,ercs_graphrag,mrr,0.49260000000000004
2024,ercs_graphrag,evidence_coverage@5,0.3055
2024,ercs_graphrag,all_evidence_hit@5,0.064
2024,ercs_graphrag,first_two_evidence_hit@5,0.094
2024,ercs_graphrag,evidence_hit_count,0.782
2024,ercs_graphrag,evidence_total,2.498
2024,ercs_graphrag,answer_accuracy,0.212
2024,ercs_graphrag,faithfulness,1.0
2024,ucp_ercs_graphrag,hit@5,0.618
2024,ucp_ercs_graphrag,recall@5,0.3141666666666667
2024,ucp_ercs_graphrag,precision@5,0.3824
2024,ucp_ercs_graphrag,mrr,0.4824333333333333
2024,ucp_ercs_graphrag,evidence_coverage@5,0.3141666666666667
2024,ucp_ercs_graphrag,all_evidence_hit@5,0.074
2024,ucp_ercs_graphrag,first_two_evidence_hit@5,0.102
2024,ucp_ercs_graphrag,evidence_hit_count,0.806
2024,ucp_ercs_graphrag,evidence_total,2.498
2024,ucp_ercs_graphrag,answer_accuracy,0.208
2024,ucp_ercs_graphrag,faithfulness,1.0
2025,bm25_rag,hit@5,0.702
2025,bm25_rag,recall@5,0.4103333333333333
2025,bm25_rag,precision@5,0.49119999999999997
2025,bm25_rag,mrr,0.6156333333333334
2025,bm25_rag,evidence_coverage@5,0.4103333333333333
2025,bm25_rag,all_evidence_hit@5,0.13
2025,bm25_rag,first_two_evidence_hit@5,0.184
2025,bm25_rag,evidence_hit_count,1.08
2025,bm25_rag,evidence_total,2.444
2025,bm25_rag,answer_accuracy,0.166
2025,bm25_rag,faithfulness,1.0
2025,hybrid_rag,hit@5,0.69
2025,hybrid_rag,recall@5,0.3878333333333333
2025,hybrid_rag,precision@5,0.4948
2025,hybrid_rag,mrr,0.6025666666666667
2025,hybrid_rag,evidence_coverage@5,0.3878333333333333
2025,hybrid_rag,all_evidence_hit@5,0.112
2025,hybrid_rag,first_two_evidence_hit@5,0.17
2025,hybrid_rag,evidence_hit_count,1.024
2025,hybrid_rag,evidence_total,2.444
2025,hybrid_rag,answer_accuracy,0.164
2025,hybrid_rag,faithfulness,1.0
2025,vector_rag,hit@5,0.606
2025,vector_rag,recall@5,0.2866666666666667
2025,vector_rag,precision@5,0.402
2025,vector_rag,mrr,0.48123333333333335
